iter	Logloss
0	0.5029394505
1	0.3787479091
2	0.303079154
3	0.2538502578
4	0.2300600019
5	0.2155686579
6	0.2014576379
7	0.1917419024
8	0.1830731422
9	0.1736047875
10	0.1671495417
11	0.1593230945
12	0.1536313461
13	0.1496806039
14	0.144727386
15	0.1403685896
16	0.1329949745
17	0.1309080595
18	0.1297428271
19	0.1265537862
20	0.1236799983
21	0.1193857782
22	0.1150007264
23	0.1108164817
24	0.1090871188
25	0.1079027534
26	0.1055081252
27	0.103721317
28	0.1031765139
29	0.1027685586
30	0.1016150048
31	0.1009282206
32	0.1003851271
33	0.09909299064
34	0.09667383123
35	0.0962153583
36	0.09499106371
37	0.0947448686
38	0.09342293665
39	0.09315859531
40	0.09274058888
41	0.08965982535
42	0.08802964643
43	0.0877601376
44	0.08515896428
45	0.08455026539
46	0.08406210135
47	0.08316532327
48	0.08135487575
49	0.0799435398
50	0.07939818576
51	0.07879530906
52	0.07794737071
53	0.07724824554
54	0.07694494073
55	0.07678806156
56	0.07640948258
57	0.07606040394
58	0.07555652891
59	0.07525620906
60	0.07499486025
61	0.0748231444
62	0.07463638377
63	0.07434021127
64	0.07417969473
65	0.07349276256
66	0.07337413095
67	0.07323812519
68	0.07274987433
69	0.07213341382
70	0.07193922567
71	0.07182759253
72	0.07104605293
73	0.07050161256
74	0.0701498885
75	0.06988523787
76	0.0697771704
77	0.06970183886
78	0.06936667817
79	0.06917250955
80	0.06874045836
81	0.06864200407
82	0.06857005536
83	0.06833857354
84	0.06824297337
85	0.06818640732
86	0.06772775079
87	0.06766031459
88	0.06746789683
89	0.06715059508
90	0.0670930203
91	0.06680334714
92	0.06587948481
93	0.06581701862
94	0.06565589129
95	0.0655896656
96	0.06553660617
97	0.0652361903
98	0.06508820497
99	0.06500842612
100	0.06467344866
101	0.06460502501
102	0.06446143639
103	0.06398854954
104	0.06391292608
105	0.06386647374
106	0.06372932165
107	0.06363046566
108	0.06336916388
109	0.06328163401
110	0.06319106461
111	0.06311428003
112	0.06304196365
113	0.06272835355
114	0.06266572421
115	0.06256291896
116	0.06241287224
117	0.06211646721
118	0.06194767946
119	0.06189717762
120	0.06174993688
121	0.0617080246
122	0.06166818183
123	0.06158775058
124	0.06152086077
125	0.06126516757
126	0.06105063073
127	0.06088767276
128	0.0606958247
129	0.06056416995
130	0.06044907807
131	0.0603750702
132	0.06023421277
133	0.06016861696
134	0.06012397341
135	0.06006841775
136	0.05987145736
137	0.05973666387
138	0.05967049419
139	0.05957243732
140	0.05947704783
141	0.05925556173
142	0.05910346726
143	0.05902778361
144	0.05899369074
145	0.05886611784
146	0.05879892168
147	0.0587284636
148	0.05865956022
149	0.05854995872
150	0.05848158426
151	0.0583405174
152	0.05828035747
153	0.05814773089
154	0.05809158107
155	0.05804789727
156	0.05790273547
157	0.05767747085
158	0.05747388529
159	0.05738516201
160	0.05718865438
161	0.05708333508
162	0.05701879758
163	0.05695326497
164	0.05687569915
165	0.05675783193
166	0.05661245432
167	0.05651871391
168	0.0564722468
169	0.05634566297
170	0.05622326283
171	0.05611644102
172	0.05606561731
173	0.05596359474
174	0.05587501684
175	0.05580843169
176	0.05574423447
177	0.05570312251
178	0.0556430042
179	0.0555481214
180	0.05550112335
181	0.05541019114
182	0.05529254881
183	0.05516928082
184	0.05513829909
185	0.05501826064
186	0.05488469358
187	0.05482802092
188	0.0547208548
189	0.05468335947
190	0.05449406755
191	0.05440168083
192	0.05436157488
193	0.0542998972
194	0.05426245449
195	0.0541549743
196	0.05408459517
197	0.05394409592
198	0.05387589856
199	0.05382178379
